ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type
36812594,6102 HIGHWAY 2 WEST  COLUMBIA FALLS MT 59912,Gas 922,48.36978,-114.239212,75,,,Normal Geofence
36812595,1500 Nicholas Blvd  Elk Grove Village IL 60007,Graphic Packaging,42.004741,-87.951094,75,,,Normal Geofence
36812596,1582 Harrison St  Kalamazoo MI 49007,GPI KZOO Lot B - Scrap Drop,42.306162,-85.573579,75,,,Normal Geofence
36812597,602 4TH STREET  LUBBOCK TX 79401,Gas 733,33.593325,-101.841254,75,,,Normal Geofence
36812598,5513 Proviso Dr  Berkeley IL 60163,Neil Cartage,41.893901,-87.905351,75,,,Normal Geofence
36812599,399 Southwood Ct  Bowling Green KY 42101,Georgia Pacific BG,36.933905,-86.500977,75,,,Normal Geofence
36812600,2032 HIGHWAY 48  PLEASANT HILL NC 27866,Gas 58,36.523405,-77.587144,75,,,Normal Geofence
36812601,4375 O DAY AVE NE  ST. MICHAEL MN 55376,Gas 84554,45.215634,-93.597921,75,,,Normal Geofence
36812602,35858 GHOST TOWN RD  YERMO CA 92398,Gas 1272,34.904081,-116.887215,75,,,Normal Geofence
36812603,5625 W. WINNEMUCCA BLVD.  WINNEMUCCA NV 89445,Gas 485,40.931386,-117.805589,75,,,Normal Geofence
36812604,9510 GREENWOOD ROAD  GREENWOOD LA 71033,Gas 665,32.444595,-93.978595,75,,,Normal Geofence
36812605,3825 BUSINESS LOOP I-94  MANDAN ND 58554,Gas 511,46.861243,-101.010085,75,,,Normal Geofence
36812606,3110 SANDY RIDGE ROAD  COLFAX NC 27235,Gas 87929,36.094019,-79.995407,75,,,Normal Geofence
36812607,6141 US 127 NORTH  EATON OH 45320,Gas 286,39.831662,-84.630319,75,,,Normal Geofence
36812608,1400 SOUTH MIAMI BOULEVAR D DURHAM NC 27703,Gas 86972,35.955967,-78.841693,75,,,Normal Geofence
36812609,8924 LAKE ROAD  SEVILLE OH 44273,Gas 13,41.029783,-81.907267,75,,,Normal Geofence
36812610,4301 SOUTH MAIN STREET  LAPLACE LA 70068,Gas 82,30.085454,-90.444488,75,,,Normal Geofence
36812611,422 Jay St  Coldwater MI 49036,Leader Logistics,41.930104,-85.015213,75,,,Normal Geofence
36812612,28th Street  Grand Rapids MI 49548,Kellogg/Keebler,42.912824,-85.654811,75,,,Normal Geofence
36812613,968 CASSVILLE-WHITE ROAD  CARTERSVILLE GA 30120,Gas 67,34.272079,-84.807711,75,,,Normal Geofence
36812614,6224 E Minooka Rd  Minooka IL 60447,Kellogg DC,41.45447,-88.305821,75,,,Normal Geofence
36812615,3798 ROUTE 11  MCGRAW NY 13101,Gas 89912,42.590749,-76.1334,75,,,Normal Geofence
36812616,2500 Logistics Dr  Battle Creek MI 49037,Janesville Accoustics,42.304539,-85.272012,75,,,Normal Geofence
36812617,18011 COLORADO STREET  HEBRON IN 46341,Gas 448,41.290269,-87.295089,75,,,Normal Geofence
36812618,1844 Summer St  Hammond IN 46320,Pac Moore Whse,41.601336,-87.483765,75,,,Normal Geofence
36812619,3838 Indianola Ave  Columbus OH 43214,Marzettis Columbus,40.043107,-82.999038,75,,,Normal Geofence
36812620,4371 BROADWAY BLVD  MONROEVILLE PA 15146,Gas 82917,40.398915,-79.76974,75,,,Normal Geofence
36812621,8645 WATERVILLE SWANTON R OAD WATERVILLE OH 43566,Gas 86395,41.508755,-83.755847,75,,,Normal Geofence
36812622,979 ROUTE 173  BLOOMSBURY NJ 8804,Gas 280,40.659852,-75.072613,75,,,Normal Geofence
36812623,15401 Industrial Dr  Schoolcraft Township MI 49087,Clark Logic,42.093379,-85.633049,75,,,Normal Geofence
36812624,9890 SE MISSOURI 13  COLLINS MO 64738,Gas 385,37.874268,-93.621464,75,,,Normal Geofence
36812625,4221 WALDEN AVE.  LANCASTER NY 14086,Gas 89888,42.923135,-78.621786,75,,,Normal Geofence
36812626,6485 WEST OVERLAND DRIVE  IDAHO FALLS ID 83402,Gas 1043,43.439351,-112.115669,75,,,Normal Geofence
36812627,145 E Fountain St  Battle Creek MI 49017,F-6,42.314427,-85.183943,75,,,Normal Geofence
36812628,65 SADLER ROAD  DUNN NC 28334,Gas 900,35.318409,-78.575777,75,,,Normal Geofence
36812629,18 Allison Dr  Shelby OH 44875,CENTRAL OHIO WHSE,40.900742,-82.672816,75,,,Normal Geofence
36812630,5350 HWY 93  JEROME ID 83338,Gas 640,42.649423,-114.441981,75,,,Normal Geofence
36812631,41 SE  WYOMING BLVD.  CASPER WY 82609,Gas 758,42.851874,-106.269591,75,,,Normal Geofence
36812632,43443 Flint  Novi MI 48375,CVS - Novi,42.478925,-83.476816,75,,,Normal Geofence
36812633,7112 I-10 WEST  ORANGE TX 77630,Gas 735,30.116235,-93.81942,75,,,Normal Geofence
36812634,1300 N. CORRINGTON AVENUE  KANSAS CITY MO 64120,Gas 768,39.131228,-94.497039,75,,,Normal Geofence
36812635,15919 S. LINCOLN HIGHWAY  PLAINFIELD IL 60544,Gas 88480,41.593474,-88.186144,75,,,Normal Geofence
36812636,2275 SPERRY AVENUE  PATTERSON CA 95363,Gas 1080,37.465611,-121.164954,75,,,Normal Geofence
36812637,400 E Hanthorn Rd  Lima OH 45804,Wannamacher,40.700589,-84.100986,75,,,Normal Geofence
36812638,1300 N. GRAND AVENUE  MT. PLEASANT IA 52641,Gas 1012,40.982822,-91.53993,75,,,Normal Geofence
36812639,7501 SOUTH CHOCTAW ROAD  CHOCTAW OK 73020,Gas 556,35.39043,-97.265948,75,,,Normal Geofence
36812640,3807 STATESVILLE AVENUE  CHARLOTTE NC 28206,Gas 275,35.270382,-80.838298,75,,,Normal Geofence
36812641,164 FM 1927  PYOTE TX 79777,Gas 1227,31.534855,-103.126272,75,,,Normal Geofence
36812642,2945 W 31st St  Chicago IL 60623,Ferrara Candy Company,41.836179,-87.699094,75,,,Normal Geofence
36812643,4911 W 67th St  Chicago IL 60638,CSC  Bedford Park,41.770356,-87.744946,75,,,Normal Geofence
36812644,312 Mound St  Dayton OH 45402,ROYAL OAK DAYTON,39.751382,-84.20852,75,,,Normal Geofence
36812645,700 E HWY 302  KERMIT TX 79745,Gas 1206,31.840939,-103.11046,75,,,Normal Geofence
36812646,7502 E 86th St  Indianapolis IN 46256,EPI,39.912982,-86.036627,75,,,Normal Geofence
36812647,985 Coolidge Hwy  Troy MI 48009,Socrra,42.540579,-83.186058,75,,,Normal Geofence
36812648,926 ARLINGTON ROAD  BROOKVILLE OH 45309,Gas 88013,39.851681,-84.424505,75,,,Normal Geofence
36812649,37 Thermofil Way  Handy Township MI 48836,Asahi,42.649561,-84.057338,75,,,Normal Geofence
36812650,"6900 Old U.S. 27, Fremont, IN 46737, USA",Pilot Freemont,41.740839,-85.000054,75,,,Normal Geofence
36812651,3004 111TH STREET  NAPERVILLE IL 60564,Gas 87448,41.680248,-88.205485,75,,,Normal Geofence
36812652,2599 Charlestown Rd  New Albany IN 47150,GPI Lithocraft,38.31465,-85.805234,75,,,Normal Geofence
36812653,Burstein Ct  Albion MI 49224,Georgia Pacific,42.253741,-84.773227,75,,,Normal Geofence
36812654,31120 N US HIGHWAY 60  WITTMAN AZ 85361,Gas 1192,33.765394,-112.514266,75,,,Normal Geofence
36812655,5235 Westpoint Drive  Groveport. oh OH 43125,Kenco,39.854732,-82.931434,75,,,Normal Geofence
36812656,1145 S Conwell Ave  Willard OH 44890,LSC Communications,40.04684,-86.875875,75,,,Normal Geofence
36812657,450 EAST WESTERN AVENUE  SONORA KY 42776,Gas 392,37.522519,-85.882522,75,,,Normal Geofence
36812658,3835 W 41st St  Chicago IL 60632,Mid America,41.818276,-87.719934,75,,,Normal Geofence
36812659,4200 N I-90 SERVICE RD EX IT 61 RAPID CITY SD 57701,Gas 931,44.103582,-103.149396,75,,,Normal Geofence
36812660,13960 CAPITAL BOULEVARD  WAKE FOREST NC 27587,Gas 86973,36.013133,-78.516803,75,,,Normal Geofence
36812661,931 Deeds Ave  Dayton OH 45404,GBD - Heidelberg,39.784535,-84.176288,75,,,Normal Geofence
36812662,"5 Infinite Loop, Cupertino, CA 95014, USA",add_noEPsY41RZiZRY2vqiMnSg,37.331184,-122.028713,75,,,Normal Geofence
